Wavelength; ‡Ì‡Î ¿—¬Œƒ 0; ‡Ì‡Î ¿—¬Œƒ 1; ‡Ì‡Î ¿—¬Œƒ 2
1501.907471;-46.854000;-49.594000;-47.040000
1501.915161;-46.832000;-49.572000;-46.998000
1501.922729;-46.824000;-49.554000;-46.904000
1501.930420;-46.826000;-49.528000;-46.804000
1501.937988;-46.768000;-49.538000;-46.724000
1501.945679;-46.766000;-49.544000;-46.652000
1501.953247;-46.776000;-49.546000;-46.642000
1501.960938;-46.824000;-49.532000;-46.680000
1501.968506;-46.864000;-49.512000;-46.724000
1501.976074;-46.944000;-49.516000;-46.802000
1501.983765;-46.966000;-49.522000;-46.906000
1501.991333;-46.964000;-49.544000;-46.982000
1501.999023;-46.968000;-49.552000;-47.004000
1502.006592;-46.952000;-49.568000;-47.038000
1502.014282;-46.936000;-49.540000;-47.070000
1502.021851;-46.896000;-49.552000;-47.144000
1502.029541;-46.870000;-49.556000;-47.146000
1502.037109;-46.802000;-49.600000;-47.188000
1502.044678;-46.760000;-49.666000;-47.218000
1502.052368;-46.716000;-49.744000;-47.246000
1502.059937;-46.732000;-49.810000;-47.218000
1502.067627;-46.748000;-49.868000;-47.232000
1502.075195;-46.792000;-49.906000;-47.232000
1502.082886;-46.814000;-49.892000;-47.232000
1502.090454;-46.802000;-49.862000;-47.204000
1502.098145;-46.784000;-49.816000;-47.200000
1502.105713;-46.780000;-49.752000;-47.168000
1502.113281;-46.752000;-49.698000;-47.148000
1502.120972;-46.716000;-49.660000;-47.110000
1502.128540;-46.732000;-49.636000;-47.066000
1502.136230;-46.716000;-49.626000;-47.036000
1502.143799;-46.682000;-49.650000;-47.028000
1502.151489;-46.672000;-49.650000;-47.010000
1502.159058;-46.664000;-49.674000;-47.000000
1502.166748;-46.632000;-49.726000;-46.960000
1502.174316;-46.600000;-49.794000;-46.940000
1502.182007;-46.592000;-49.822000;-46.890000
1502.189575;-46.604000;-49.858000;-46.846000
1502.197144;-46.656000;-49.848000;-46.814000
1502.204834;-46.742000;-49.808000;-46.804000
1502.212402;-46.830000;-49.738000;-46.800000
1502.220093;-46.870000;-49.668000;-46.796000
1502.227661;-46.854000;-49.596000;-46.800000
1502.235352;-46.810000;-49.538000;-46.810000
1502.242920;-46.752000;-49.476000;-46.814000
1502.250610;-46.702000;-49.426000;-46.820000
1502.258179;-46.700000;-49.384000;-46.860000
1502.265747;-46.748000;-49.390000;-46.872000
1502.273438;-46.764000;-49.402000;-46.874000
1502.281006;-46.760000;-49.428000;-46.874000
1502.288452;-46.776000;-49.404000;-46.832000
1502.296021;-46.760000;-49.476000;-46.760000
1502.303467;-46.718000;-49.532000;-46.698000
1502.311035;-46.704000;-49.592000;-46.638000
1502.318481;-46.674000;-49.676000;-46.592000
1502.326050;-46.624000;-49.808000;-46.586000
1502.333496;-46.612000;-49.828000;-46.608000
1502.341064;-46.618000;-49.846000;-46.644000
1502.348511;-46.586000;-49.872000;-46.688000
1502.356079;-46.556000;-49.834000;-46.718000
1502.363525;-46.552000;-49.794000;-46.760000
1502.371094;-46.570000;-49.802000;-46.792000
1502.378540;-46.560000;-49.780000;-46.802000
1502.386108;-46.642000;-49.744000;-46.824000
1502.393555;-46.700000;-49.768000;-46.874000
1502.401123;-46.738000;-49.766000;-46.880000
1502.408569;-46.758000;-49.764000;-46.888000
1502.416138;-46.770000;-49.776000;-46.900000
1502.423584;-46.716000;-49.790000;-46.878000
1502.431030;-46.738000;-49.754000;-46.818000
1502.438599;-46.736000;-49.730000;-46.790000
1502.446045;-46.716000;-49.706000;-46.778000
1502.453613;-46.708000;-49.690000;-46.766000
1502.461060;-46.686000;-49.710000;-46.794000
1502.468628;-46.658000;-49.776000;-46.858000
1502.476074;-46.638000;-49.800000;-46.906000
1502.483643;-46.598000;-49.804000;-46.958000
1502.491089;-46.584000;-49.788000;-47.002000
1502.498657;-46.620000;-49.766000;-47.004000
1502.506104;-46.614000;-49.738000;-46.994000
1502.513672;-46.600000;-49.786000;-46.982000
1502.521118;-46.586000;-49.860000;-46.972000
1502.528687;-46.570000;-49.968000;-46.948000
1502.536133;-46.548000;-50.022000;-46.930000
1502.543701;-46.542000;-50.046000;-46.890000
1502.551147;-46.626000;-50.026000;-46.832000
1502.558716;-46.682000;-49.976000;-46.754000
1502.566162;-46.708000;-49.890000;-46.718000
1502.573730;-46.736000;-49.820000;-46.722000
1502.581177;-46.780000;-49.740000;-46.726000
1502.588745;-46.750000;-49.680000;-46.762000
1502.596191;-46.766000;-49.642000;-46.810000
1502.603638;-46.760000;-49.624000;-46.870000
1502.611206;-46.742000;-49.626000;-46.886000
